County,State,Total Population,Under 18 ,65 & Over,Pediatric Asthma sufferers,Adult Asthma sufferers,COPD sufferers,Lung Cancer sufferers,Heart Disease,Ever Smoked,Poverty,People of Color,Orange Ozone Days,Red Ozone Days,Purple Ozone Days,Wgt. Avg. Ozone Days,Ozone Grade,Orange Pollutant Days,Red  Pollutant Days,Purple  Pollutant Days,Maroon  Pollutant Days,Wgt. Avg.  Pollutant Days,Pollutant Grade,Annual Design Value,Annual Pass/Fail
Baldwin,Alabama,218022,47110,44571,6217,18036,18817,143,24290,75937,21069,36821,1,0,0,0.3,B,0,0,0,0,0,A,7.3,PASS
Clay,Alabama,13275,2688,2751,355,1118,1173,9,1512,4711,2285,2585,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,7.4,PASS
Colbert,Alabama,54762,11370,10914,1501,4577,4692,36,6030,19204,7459,11830,1,0,0,0.3,B,0,0,0,0,0,A,7.5,PASS
DeKalb,Alabama,71385,17188,12322,2268,5726,5719,47,7237,23873,14975,14186,0,0,0,0,A,1,0,0,0,0.3,B,7.6,PASS
Elmore,Alabama,81887,18211,12400,2403,6739,6460,54,7997,27836,8559,22116,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Etowah,Alabama,102501,21997,19487,2903,8499,8637,67,11032,35577,17509,22872,0,0,0,0,A,0,0,0,0,0,A,8.3,PASS
Houston,Alabama,104722,24120,18639,3183,8507,8480,69,10767,35475,17032,35272,0,0,0,0,A,1,0,0,0,0.3,B,7.8,PASS
Jefferson,Alabama,659300,150071,104547,19805,53749,51356,431,64175,222224,103604,331629,12,2,0,5,F,0,0,0,0,0,A,10.5,PASS
Madison,Alabama,366519,79966,55125,10553,30350,29165,241,36026,125369,42667,129763,2,0,0,0.7,B,0,0,0,0,0,A,7.5,PASS
Mobile,Alabama,413757,96711,67041,12763,33472,32375,271,40606,138707,84539,179067,5,0,0,1.7,C,0,0,0,0,0,A,8.1,PASS
Montgomery,Alabama,225763,52774,34173,6965,18255,17182,147,21366,75260,43567,150610,1,0,0,0.3,B,0,0,0,0,0,A,8.6,PASS
Morgan,Alabama,119089,27168,20803,3585,9722,9770,79,12344,40560,15419,29373,0,0,0,0,A,0,0,0,0,0,A,7.5,PASS
Russell,Alabama,57781,13968,8280,1843,4633,4369,38,5392,19085,12384,31211,0,0,0,0,A,0,0,0,0,0,A,INC,INC
Shelby,Alabama,215707,50645,33087,6684,17480,17010,142,21125,72395,16916,48467,5,0,0,1.7,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Sumter,Alabama,12691,2407,2286,318,1081,1030,8,1306,4478,4076,9575,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Talladega,Alabama,79828,16918,14370,2233,6651,6682,52,8456,27752,14825,29938,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Tuscaloosa,Alabama,208911,43761,27743,5775,17384,15192,137,18537,70772,33330,81015,1,0,0,0.3,B,0,0,0,0,0,A,7.8,PASS
Anchorage Municipality,Alaska,291538,71339,32333,5106,20168,12616,161,14639,95199,27075,124439,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,5.8,PASS
Denali Borough,Alaska,2059,384,245,27,158,104,1,122,742,135,412,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Fairbanks North Star Borough,Alaska,98971,23861,10204,1708,6791,4061,55,4617,31974,8104,30429,0,0,0,0,A,51,19,0,0,26.5,F,13.1,FAIL
Juneau City and Borough,Alaska,32113,6830,4298,489,2338,1552,18,1850,11130,2299,11476,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,6.2,PASS
Matanuska-Susitna Borough,Alaska,107610,28860,12814,2065,7272,4753,60,5625,34516,10937,22649,0,0,0,0,A,6,1,0,0,2.5,D,5.3,PASS
Apache,Arizona,71818,19518,10986,1573,5322,3728,32,4820,21136,26435,58801,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,INC,INC
Cochise,Arizona,126770,27312,28326,2202,10015,7771,57,10389,41425,18273,57227,2,0,0,0.7,B,0,0,0,0,0,A,INC,INC
Coconino,Arizona,142854,29454,17855,2374,11338,6940,64,8729,43956,20964,65726,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Gila,Arizona,53889,10827,15506,873,4363,3814,24,5220,18698,10804,20487,30,1,0,10.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
La Paz,Arizona,21098,3540,8287,285,1733,1698,9,2405,7893,4921,9141,6,0,0,2,C,0,0,0,0,0,A,4.3,PASS
Maricopa,Arizona,4410824,1052788,669285,84871,340115,231647,1970,298086,1344593,535183,1989191,112,5,0,39.8,F,13,2,2,0,6.7,F,9.9,PASS
Mohave,Arizona,209550,35739,63526,2881,17610,15506,94,21258,75665,34411,48373,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Navajo,Arizona,110445,29472,20010,2376,8223,6101,49,8024,33302,30876,64394,3,0,0,1,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Pima,Arizona,1039073,216736,205255,17472,82678,60474,464,79742,336049,164927,504663,14,0,0,4.7,F,1,0,0,0,0.3,B,6.5,PASS
Pinal,Arizona,447138,100778,91129,8124,34832,26058,201,34552,142549,54399,194203,44,1,0,15.2,F,30,3,0,0,11.5,F,13,FAIL
Santa Cruz,Arizona,46511,12435,8421,1002,3455,2555,21,3361,13995,11287,39600,DNC,DNC,DNC,DNC,DNC,3,4,0,0,3,D,9.1,PASS
Yavapai,Arizona,231993,37687,73278,3038,19703,17642,103,24260,85109,30060,45569,6,0,0,2,C,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Yuma,Arizona,212128,53494,39828,4312,15802,11389,95,15050,64422,39648,147604,18,0,0,6,F,5,0,0,0,1.7,C,8.5,PASS
Arkansas,Arkansas,17769,4074,3484,292,1344,1446,14,1943,6521,3120,5427,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.1,PASS
Ashley,Arkansas,20046,4582,4081,328,1514,1653,16,2230,7378,3876,6354,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,8.2,PASS
Clark,Arkansas,22061,4184,3687,299,1765,1641,17,2206,8328,3838,6963,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Craighead,Arkansas,108558,27090,15030,1939,8093,7489,85,9854,37974,18768,26491,DNC,DNC,DNC,DNC,DNC,INC,INC,INC,INC,INC,INC,INC,INC
Crittenden,Arkansas,48342,13076,6838,936,3503,3436,38,4484,16586,9056,28292,6,1,0,2.5,D,0,0,0,0,0,A,8.4,PASS
Garland,Arkansas,99154,19941,23632,1427,7693,8653,77,11919,37920,19844,18046,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.4,PASS
Jackson,Arkansas,16811,3381,3051,242,1324,1349,13,1798,6344,3732,3934,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,8.1,PASS
Newton,Arkansas,7805,1502,2069,107,609,719,6,999,3040,1340,506,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Polk,Arkansas,20049,4567,4611,327,1504,1705,16,2342,7422,3962,2477,0,0,0,0,A,0,0,0,0,0,A,8.3,PASS
Pulaski,Arkansas,392680,91009,61075,6513,29892,29262,305,38546,141761,64312,188759,3,0,0,1,C,0,0,0,0,0,A,9.7,PASS
Union,Arkansas,39126,9419,7017,674,2926,3083,31,4101,14109,7000,15358,DNC,DNC,DNC,DNC,DNC,1,0,0,0,0.3,B,8.9,PASS
Washington,Arkansas,236961,57728,27809,4132,17895,15419,186,20080,82763,34741,69366,0,0,0,0,A,0,0,0,0,0,A,8.1,PASS
Alameda,California,1666753,342510,230510,21146,112623,59859,645,86118,438363,147394,1148783,20,3,1,8.8,F,10,13,2,0,11.2,F,12,PASS
Amador,California,39383,5914,10633,365,2936,1919,15,2945,11929,4130,8898,15,0,0,5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Butte,California,231256,46213,42992,2853,15844,9018,90,13309,62372,42016,65598,48,3,0,17.5,F,13,4,2,2,9.3,F,10.1,PASS
Calaveras,California,45602,7721,12553,477,3340,2233,18,3448,13649,5454,8802,41,3,0,15.2,F,15,5,0,0,7.5,F,INC,INC
Colusa,California,21627,5907,3163,365,1344,745,8,1087,5273,2350,14202,0,0,0,0,A,12,16,0,0,12,F,8.5,PASS
Contra Costa,California,1150215,259791,181443,16039,76494,43209,445,63410,301667,88980,652755,8,0,0,2.7,D,11,12,2,0,11,F,10.5,PASS
Del Norte,California,27828,5854,5018,361,1890,1092,11,1616,7478,5065,10472,DNC,DNC,DNC,DNC,DNC,0,0,0,0,0,A,INC,INC
El Dorado,California,190678,37821,40389,2335,13335,8279,74,12506,53670,15401,42700,87,21,1,40.2,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Fresno,California,994400,281819,122113,17399,60395,31587,385,45226,234129,208627,705643,191,43,1,85.8,F,73,27,0,0,37.8,F,15,FAIL
Glenn,California,28047,7453,4453,460,1767,1003,11,1476,6967,4271,13812,0,0,0,0,A,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Humboldt,California,136373,26184,24380,1617,9423,5297,53,7783,37018,27002,35274,1,0,0,0.3,B,4,0,0,0,1.3,C,7.4,PASS
Imperial,California,181827,51765,23580,3196,11043,5862,71,8440,42925,37014,162999,56,2,0,19.7,F,19,2,0,0,7.3,F,12.6,FAIL
Inyo,California,17987,3681,4210,227,1249,792,7,1206,5040,2172,6877,32,0,0,10.7,F,10,9,3,0,9.8,F,7.2,PASS
Kern,California,896764,259180,98347,16001,53894,27503,348,39003,208055,177021,596328,257,35,0,103.2,F,64,29,0,0,35.8,F,17.8,FAIL
Kings,California,151366,40964,15516,2529,9283,4580,59,6416,35590,25481,103277,111,5,0,39.5,F,68,27,0,0,36.2,F,16.8,FAIL
Lake,California,64382,13490,14635,833,4442,2804,25,4261,17916,11689,19519,0,0,0,0,A,2,2,1,0,2.3,D,6.1,PASS
Los Angeles,California,10105518,2188893,1375957,135136,673459,358245,3911,515500,2622021,1409155,7466160,207,68,12,111,F,31,7,0,0,13.8,F,12.7,FAIL
Madera,California,157672,43339,22051,2676,9745,5298,61,7688,38068,30201,104594,84,6,0,31,F,41,7,0,0,17.2,F,12.8,FAIL
Marin,California,259666,51925,57943,3206,18183,11518,100,17499,73506,16742,74122,0,0,0,0,A,8,12,1,0,9.3,F,9.1,PASS
Mariposa,California,17471,2828,4882,175,1289,859,7,1325,5259,2569,3551,60,5,0,22.5,F,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC
Mendocino,California,87606,18713,19366,1155,5988,3712,34,5617,24035,15140,30951,0,0,0,0,A,19,7,1,1,11.3,F,9.1,PASS
Merced,California,274765,80588,30845,4975,16418,8420,107,11965,63423,56863,200196,63,2,0,22,F,41,12,0,0,19.7,F,13.4,FAIL
