County,High Ozone Day Grade,Ozone Wgt. Avg.,Ozone Orange Days,Ozone Red Days,Ozone Purple Days,GEOID,Particle Pollution Grade,Particle Pollution Wgt. Avg.,Particle Pollution Orange Days,Particle Pollution Red Days,Particle Pollution Purple Days,Particle Pollution Maroon Days,Particle Pollution Particle Pollution Grade (Annual),Particle Pollution Design Value,Total Pop,Under 18,65 & Over,Pediatric Asthma,Adult Asthma,COPD,Lung Cancer,CV Disease,Ever Smoker,Poverty Estimate,Non White
Accomack,DNC,DNC,DNC,DNC,DNC,51001,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"32,412","6,656","7,638",476,"2,164","1,925",18,"2,650","10,229","5,552","12,974"
Albemarle,B,0.3,1,0,0,51003,A,0,0,0,0,0,Pass,6.5,"108,718","21,528","20,248","1,540","7,401","5,761",62,"7,598","33,294","8,912","25,438"
Alexandria City,DNC,DNC,DNC,DNC,DNC,51510,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"160,530","29,434","18,465","2,106","11,317","7,378",92,"8,933","47,836","16,093","77,452"
Alleghany,DNC,DNC,DNC,DNC,DNC,51005,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"14,910","2,770","3,682",198,"1,019",922,8,"1,275","4,849","2,164","1,270"
Amelia,DNC,DNC,DNC,DNC,DNC,51007,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"13,013","2,664","2,576",190,879,740,7,989,"4,057","1,273","3,361"
Amherst,DNC,DNC,DNC,DNC,DNC,51009,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"31,666","6,207","6,701",444,"2,154","1,828",18,"2,466","9,985","3,969","7,950"
Appomattox,DNC,DNC,DNC,DNC,DNC,51011,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"15,841","3,350","3,280",239,"1,056",886,9,"1,194","4,878","2,123","3,674"
Arlington,F,4,12,0,0,51013,B,0.3,1,0,0,0,Pass,7.5,"237,521","42,959","25,209","3,074","16,810","10,477",136,"12,482","70,136","14,842","92,122"
Augusta,DNC,DNC,DNC,DNC,DNC,51015,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"75,457","14,362","15,877","1,027","5,172","4,366",43,"5,874","23,924","6,531","7,110"
Bath,DNC,DNC,DNC,DNC,DNC,51017,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"4,292",650,"1,187",46,304,284,2,398,"1,467",451,383
Bedford,DNC,DNC,DNC,DNC,DNC,51019,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"78,747","15,623","16,789","1,118","5,345","4,631",45,"6,256","24,939","8,162","9,670"
Bland,DNC,DNC,DNC,DNC,DNC,51021,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"6,293",965,"1,447",69,449,385,3,522,"2,093",786,399
Botetourt,DNC,DNC,DNC,DNC,DNC,51023,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"33,277","6,279","7,569",449,"2,279","2,020",19,"2,754","10,735","2,441","2,445"
Bristol City,DNC,DNC,DNC,DNC,DNC,51520,B,0.3,1,0,0,0,Pass,7.3,"16,482","3,323","3,476",237,"1,111",926,9,"1,250","5,125","3,324","2,002"
Brunswick,DNC,DNC,DNC,DNC,DNC,51025,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"16,384","2,674","3,523",191,"1,159",950,9,"1,275","5,313","3,187","9,729"
Buchanan,DNC,DNC,DNC,DNC,DNC,51027,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"21,221","3,662","4,709",262,"1,485","1,279",12,"1,730","6,919","5,568","1,058"
Buckingham,DNC,DNC,DNC,DNC,DNC,51029,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"16,999","3,000","3,340",214,"1,189",960,9,"1,273","5,411","2,993","6,599"
Buena Vista City,DNC,DNC,DNC,DNC,DNC,51530,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"6,237","1,088","1,219",77,436,338,3,447,"1,962",872,782
Campbell,DNC,DNC,DNC,DNC,DNC,51031,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"54,973","10,628","10,943",760,"3,761","3,085",31,"4,114","17,216","6,132","11,250"
Caroline,B,0.3,1,0,0,51033,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"30,772","7,079","5,050",506,"2,023","1,573",17,"2,046","9,069","2,930","11,221"
Carroll,DNC,DNC,DNC,DNC,DNC,51035,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"29,636","5,384","7,259",385,"2,038","1,834",17,"2,529","9,672","4,605","1,683"
Charles City,B,0.7,2,0,0,51036,A,0,0,0,0,0,Pass,6.6,"6,941","1,052","1,708",75,496,449,3,616,"2,357",851,"3,976"
Charlotte,DNC,DNC,DNC,DNC,DNC,51037,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"11,938","2,491","2,654",178,796,698,6,952,"3,740","2,264","3,816"
Charlottesville City,DNC,DNC,DNC,DNC,DNC,51540,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"48,117","7,675","5,580",549,"3,482","2,142",27,"2,568","14,505","10,614","16,361"
Chesapeake City,DNC,DNC,DNC,DNC,DNC,51550,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"242,634","58,443","32,235","4,182","15,837","11,451",139,"14,413","69,156","20,239","104,643"
Chesterfield,B,0.3,1,0,0,51041,A,0,0,0,0,0,INC,INC,"348,556","82,795","52,028","5,925","22,774","17,230",199,"22,099","101,026","26,093","135,536"
Clarke,DNC,DNC,DNC,DNC,DNC,51043,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"14,523","2,888","3,068",206,986,859,8,"1,159","4,608",934,"2,127"
Colonial Heights City,DNC,DNC,DNC,DNC,DNC,51570,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"17,833","4,299","3,495",307,"1,143",937,10,"1,260","5,244","1,756","5,179"
Covington City,DNC,DNC,DNC,DNC,DNC,51580,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"5,460",982,"1,160",70,378,316,3,425,"1,747",826,"1,039"
Craig,DNC,DNC,DNC,DNC,DNC,51045,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"5,064",888,"1,185",63,352,313,2,428,"1,662",599,153
Culpeper,DNC,DNC,DNC,DNC,DNC,51047,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"51,859","12,864","8,159",920,"3,333","2,585",29,"3,353","14,923","4,375","15,514"
Cumberland,DNC,DNC,DNC,DNC,DNC,51049,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"9,809","1,900","2,199",135,667,576,5,785,"3,116","1,535","3,569"
Danville City,DNC,DNC,DNC,DNC,DNC,51590,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"40,693","8,821","8,518",631,"2,690","2,250",23,"3,043","12,425","10,006","23,627"
Dickenson,DNC,DNC,DNC,DNC,DNC,51051,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"14,523","2,871","3,198",205,982,841,8,"1,142","4,576","3,520",372
Dinwiddie,DNC,DNC,DNC,DNC,DNC,51053,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"28,529","5,686","4,981",406,"1,951","1,561",16,"2,039","8,826","3,486","10,939"
Emporia City,DNC,DNC,DNC,DNC,DNC,51595,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"5,121","1,082","1,036",77,341,281,2,378,"1,569","1,010","3,678"
Essex,DNC,DNC,DNC,DNC,DNC,51057,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"10,919","2,028","2,530",145,749,658,6,900,"3,521","1,478","4,966"
Fairfax,D,2.3,7,0,0,51059,B,0.3,1,0,0,0,Pass,6.8,"1,150,795","269,162","154,840","19,263","75,829","55,227",662,"69,579","331,791","69,377","572,332"
Fairfax City,DNC,DNC,DNC,DNC,DNC,51600,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"24,574","6,141","3,514",439,"1,580","1,172",14,"1,496","6,965","1,823","11,072"
Falls Church City,DNC,DNC,DNC,DNC,DNC,51610,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"14,772","3,909","1,954",279,934,696,8,882,"4,118",535,"4,301"
Fauquier,A,0,0,0,0,51061,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"70,675","16,513","11,620","1,181","4,632","3,699",40,"4,821","20,927","4,260","14,578"
Floyd,DNC,DNC,DNC,DNC,DNC,51063,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"15,795","3,112","3,604",222,"1,069",943,9,"1,289","5,031","1,922","1,142"
Fluvanna,DNC,DNC,DNC,DNC,DNC,51065,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"26,783","5,277","5,418",377,"1,822","1,509",15,"2,020","8,373","1,749","5,884"
Franklin,DNC,DNC,DNC,DNC,DNC,51067,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"56,195","10,779","13,219",771,"3,823","3,405",32,"4,672","18,062","8,390","7,222"
Franklin City,DNC,DNC,DNC,DNC,DNC,51620,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"8,013","1,897","1,579",135,517,432,4,580,"2,385","1,444","5,052"
Frederick,A,0,0,0,0,51069,A,0,0,0,0,0,Pass,7.4,"88,355","20,386","15,264","1,459","5,793","4,610",50,"6,050","26,189","6,107","15,357"
Fredericksburg City,DNC,DNC,DNC,DNC,DNC,51630,DNC,DNC,DNC,DNC,DNC,DNC,DNC,DNC,"29,144","6,097","3,250",436,"1,985","1,254",16,"1,513","8,328","3,851","11,940"
